timepoint	cohort	sample	peptide	count
t1	susceptible	S.55	lcl|c232294_g5_i11|m.17226	0
t1	susceptible	S.73	lcl|c232294_g5_i11|m.17226	0
t1	resilient	R.10	lcl|c242717_g1_i3|m.30173	8
t1	resilient	R.13	lcl|c242717_g1_i3|m.30173	0
t1	resilient	R.21	lcl|c242717_g1_i3|m.30173	0
t1	resilient	R.26	lcl|c242717_g1_i3|m.30173	0
t1	resilient	R.66	lcl|c242717_g1_i3|m.30173	0
t1	resilient	R.74	lcl|c242717_g1_i3|m.30173	0
t1	susceptible	S.5	lcl|c242717_g1_i3|m.30173	0
t1	susceptible	S.20	lcl|c242717_g1_i3|m.30173	0
t1	susceptible	S.25	lcl|c242717_g1_i3|m.30173	0
t1	susceptible	S.28	lcl|c242717_g1_i3|m.30173	0
t1	susceptible	S.55	lcl|c242717_g1_i3|m.30173	0
t1	susceptible	S.73	lcl|c242717_g1_i3|m.30173	0
t1	resilient	R.10	lcl|c212713_g4_i1|m.2814	0
t1	resilient	R.13	lcl|c212713_g4_i1|m.2814	0
t1	resilient	R.21	lcl|c212713_g4_i1|m.2814	2
t1	resilient	R.26	lcl|c212713_g4_i1|m.2814	0
t1	resilient	R.66	lcl|c212713_g4_i1|m.2814	6
t1	resilient	R.74	lcl|c212713_g4_i1|m.2814	3
t1	susceptible	S.5	lcl|c212713_g4_i1|m.2814	0
t1	susceptible	S.20	lcl|c212713_g4_i1|m.2814	0
t1	susceptible	S.25	lcl|c212713_g4_i1|m.2814	0
t1	susceptible	S.28	lcl|c212713_g4_i1|m.2814	1
t1	susceptible	S.55	lcl|c212713_g4_i1|m.2814	0
t1	susceptible	S.73	lcl|c212713_g4_i1|m.2814	0
t1	resilient	R.10	lcl|c229461_g3_i2|m.14279	0
t1	resilient	R.13	lcl|c229461_g3_i2|m.14279	2
t1	resilient	R.21	lcl|c229461_g3_i2|m.14279	3
t1	resilient	R.26	lcl|c229461_g3_i2|m.14279	5
t1	resilient	R.66	lcl|c229461_g3_i2|m.14279	0
t1	resilient	R.74	lcl|c229461_g3_i2|m.14279	2
t1	susceptible	S.5	lcl|c229461_g3_i2|m.14279	1
t1	susceptible	S.20	lcl|c229461_g3_i2|m.14279	0
t1	susceptible	S.25	lcl|c229461_g3_i2|m.14279	1
t1	susceptible	S.28	lcl|c229461_g3_i2|m.14279	0
t1	susceptible	S.55	lcl|c229461_g3_i2|m.14279	0
t1	susceptible	S.73	lcl|c229461_g3_i2|m.14279	1
t1	resilient	R.10	lcl|c235585_g2_i7|m.21110	6
t1	resilient	R.13	lcl|c235585_g2_i7|m.21110	13
t1	resilient	R.21	lcl|c235585_g2_i7|m.21110	17
t1	resilient	R.26	lcl|c235585_g2_i7|m.21110	10
t1	resilient	R.66	lcl|c235585_g2_i7|m.21110	4
t1	resilient	R.74	lcl|c235585_g2_i7|m.21110	4
t1	susceptible	S.5	lcl|c235585_g2_i7|m.21110	1
t1	susceptible	S.20	lcl|c235585_g2_i7|m.21110	2
t1	susceptible	S.25	lcl|c235585_g2_i7|m.21110	5
t1	susceptible	S.28	lcl|c235585_g2_i7|m.21110	6
t1	susceptible	S.55	lcl|c235585_g2_i7|m.21110	5
t1	susceptible	S.73	lcl|c235585_g2_i7|m.21110	4
t1	resilient	R.10	lcl|c239139_g1_i7|m.25343	10
t1	resilient	R.13	lcl|c239139_g1_i7|m.25343	0
t1	resilient	R.21	lcl|c239139_g1_i7|m.25343	15
t1	resilient	R.26	lcl|c239139_g1_i7|m.25343	0
t1	resilient	R.66	lcl|c239139_g1_i7|m.25343	0
t1	resilient	R.74	lcl|c239139_g1_i7|m.25343	0
t1	susceptible	S.5	lcl|c239139_g1_i7|m.25343	0
t1	susceptible	S.20	lcl|c239139_g1_i7|m.25343	0
t1	susceptible	S.25	lcl|c239139_g1_i7|m.25343	8
t1	susceptible	S.28	lcl|c239139_g1_i7|m.25343	0
t1	susceptible	S.55	lcl|c239139_g1_i7|m.25343	0
t1	susceptible	S.73	lcl|c239139_g1_i7|m.25343	0
t1	resilient	R.10	lcl|c232108_g1_i2|m.16999	69
