Pfam ID	GO ID	GO description							
PF00238	GO:0003735	structural constituent of ribosome							
PF00238	GO:0006412	translation							
PF00238	GO:0005840	ribosome							
PF00239	GO:0000150	DNA strand exchange activity							
PF00239	GO:0003677	DNA binding							
PF00239	GO:0006310	DNA recombination							
PF00240	GO:0005515	protein binding							
PF00241	GO:0003779	actin binding							
PF00242	GO:0003677	DNA binding							
PF00242	GO:0003887	DNA-directed DNA polymerase activity							
PF00242	GO:0006260	DNA replication							
PF00243	GO:0005102	signaling receptor binding							
PF00245	GO:0016791	phosphatase activity							
PF00246	GO:0004181	metallocarboxypeptidase activity							
PF00246	GO:0008270	zinc ion binding							
PF00246	GO:0006508	proteolysis							
PF00250	GO:0003700	DNA-binding transcription factor activity							
PF00250	GO:0043565	sequence-specific DNA binding							
PF00250	GO:0006355	regulation of DNA-templated transcription							
PF00253	GO:0003735	structural constituent of ribosome							
PF00253	GO:0006412	translation							
PF00253	GO:0005840	ribosome							
PF00254	GO:0003755	peptidyl-prolyl cis-trans isomerase activity							
PF00255	GO:0004601	peroxidase activity							
PF00255	GO:0006979	response to oxidative stress							
PF00257	GO:0009415	response to water							
PF00258	GO:0010181	FMN binding							
PF00260	GO:0003677	DNA binding							
PF00260	GO:0007283	spermatogenesis							
PF00260	GO:0035092	sperm DNA condensation							
PF00260	GO:0000786	nucleosome							
PF00260	GO:0005634	nucleus							
PF00262	GO:0005509	calcium ion binding							
PF00262	GO:0051082	unfolded protein binding							
PF00262	GO:0006457	protein folding							
PF00262	GO:0005783	endoplasmic reticulum							
PF00263	GO:0009306	protein secretion							
PF00264	GO:0016491	oxidoreductase activity							
PF00265	GO:0004797	thymidine kinase activity							
PF00265	GO:0005524	ATP binding							
PF00267	GO:0015288	porin activity							
PF00267	GO:0034220	monoatomic ion transmembrane transport							
PF00267	GO:0009279	cell outer membrane							
PF00267	GO:0016020	membrane							
PF00268	GO:0009263	deoxyribonucleotide biosynthetic process							
PF00269	GO:0003690	double-stranded DNA binding							
PF00269	GO:0006265	DNA topological change							
PF00270	GO:0003676	nucleic acid binding							
PF00270	GO:0005524	ATP binding							
PF00272	GO:0019731	antibacterial humoral response							
PF00272	GO:0005576	extracellular region							
PF00273	GO:0005615	extracellular space							
PF00274	GO:0004332	fructose-bisphosphate aldolase activity							
PF00274	GO:0006096	glycolytic process							
PF00275	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups							
PF00276	GO:0003735	structural constituent of ribosome							
PF00276	GO:0006412	translation							
PF00276	GO:0005840	ribosome							
PF00277	GO:0005576	extracellular region							
PF00278	GO:0003824	catalytic activity							
